order_number,table_number,timestamp,items_summary,universal_comment,order_total,payment_method,printed_status,items_json
26,3,2025-08-21 15:28:00,,,29.20,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.6, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
27,7,2025-08-21 15:42:00,,,3.30,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
28,13,2025-08-21 16:02:00,,,4.80,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
29,6,2025-08-21 16:20:00,,,11.30,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
30,3,2025-08-21 16:44:00,,,13.70,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
31,2,2025-08-21 17:13:00,,,7.00,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
32,15,2025-08-21 17:27:00,,,23.20,Cash,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.3, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
33,15,2025-08-21 17:52:00,,,15.20,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
34,8,2025-08-21 18:08:00,,,11.90,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
35,7,2025-08-21 18:25:00,,,22.40,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
36,14,2025-08-21 18:48:00,,,19.70,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
