order_number,table_number,timestamp,items_summary,universal_comment,order_total,payment_method,printed_status,items_json
11,15,2025-08-19 10:26:00,,,11.10,Cash,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
12,13,2025-08-19 10:46:00,,,17.30,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
13,14,2025-08-19 11:08:00,,,9.70,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
14,3,2025-08-19 11:25:00,,,7.80,Cash,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.6000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
15,5,2025-08-19 11:50:00,,,15.30,Cash,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.4, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
16,13,2025-08-19 12:03:00,,,3.50,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
17,10,2025-08-19 12:25:00,,,4.40,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
18,4,2025-08-19 12:46:00,,,2.60,Cash,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
19,14,2025-08-19 13:04:00,,,5.70,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}]"
20,14,2025-08-19 13:33:00,,,7.90,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
21,15,2025-08-19 13:53:00,,,6.40,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
22,15,2025-08-19 14:00:00,,,4.00,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}]"
23,13,2025-08-19 14:22:00,,,19.00,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.1, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
24,2,2025-08-19 14:42:00,,,7.40,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
25,8,2025-08-19 15:04:00,,,31.20,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.6, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
26,9,2025-08-19 15:23:00,,,20.90,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.3, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
27,5,2025-08-19 15:43:00,,,21.10,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.7, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
28,7,2025-08-19 16:04:00,,,6.30,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
29,2,2025-08-19 16:22:00,,,6.40,Cash,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
30,11,2025-08-19 16:40:00,,,8.40,Cash,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
31,13,2025-08-19 17:07:00,,,21.40,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.6, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
32,7,2025-08-19 17:26:00,,,6.60,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
33,6,2025-08-19 17:45:00,,,7.50,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.3, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
34,8,2025-08-19 18:14:00,,,12.00,Card,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.1, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
35,2,2025-08-19 18:23:00,,,14.80,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
36,9,2025-08-19 18:48:00,,,19.60,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.4, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
